Sample Number,ADC Value
1,484
2,482
3,480
4,482
5,482
6,484
7,487
8,490
9,488
10,484
11,475
12,465
13,456
14,450
15,450
16,446
17,439
18,434
19,428
20,423
21,420
22,416
23,416
24,415
25,413
26,410
27,409
28,410
29,411
30,414
31,420
32,428
33,434
34,435
35,440
36,444
37,443
38,444
39,446
40,447
41,449
42,454
43,458
44,466
45,478
46,490
47,500
48,509
49,521
50,532
51,554
52,585
53,606
54,608
55,608
56,608
57,612
58,621
59,634
60,648
61,664
62,678
63,685
64,696
65,698
66,698
67,700
68,705
69,710
70,718
71,724
72,726
73,730
74,730
75,728
76,726
77,723
78,720
79,722
80,726
81,730
82,730
83,728
84,728
85,730
86,720
87,686
88,612
89,523
90,441
91,376
92,326
93,286
94,253
95,227
96,205
97,187
98,177
99,170
100,171
101,177
102,182
103,186
104,187
105,192
106,197
107,201
108,202
109,202
110,205
111,207
112,206
113,201
114,196
115,194
116,196
117,203
118,214
119,230
120,261
121,307
122,369
123,440
124,510
125,573
126,625
127,663
128,691
129,709
130,720
131,724
132,726
133,728
134,731
135,730
136,730
137,728
138,729
139,730
140,728
141,726
142,722
143,718
144,718
145,720
146,724
147,730
148,736
149,744
150,748
151,751
152,752
153,755
154,758
155,762
156,762
157,758
158,755
159,748
160,731
161,698
162,652
163,593
164,523
165,457
166,403
167,358
168,323
169,300
170,283
171,276
172,276
173,280
174,285
175,289
176,291
177,286
178,284
179,283
180,286
181,291
182,297
183,302
184,306
185,316
186,326
187,335
188,342
189,350
190,359
191,365
192,370
193,381
194,412
195,453
196,495
197,534
198,570
199,600
200,620
201,641
202,659
203,676
204,692
205,706
206,716
207,722
208,723
209,732
210,736
211,736
212,735
213,737
214,739
215,744
216,747
217,755
218,757
219,758
220,759
221,762
222,765
223,768
224,766
225,766
226,767
227,762
228,760
229,758
230,751
231,738
232,714
233,678
234,633
235,580
236,515
237,464
238,403
239,347
240,295
241,256
242,224
243,199
244,185
245,177
246,174
247,174
248,169
249,164
250,163
251,162
252,168
253,173
254,173
255,170
256,170
257,172
258,176
259,180
260,189
261,194
262,187
263,180
264,175
265,175
266,176
267,179
268,184
269,185
270,190
271,199
272,211
273,218
274,227
275,243
276,270
277,323
278,395
279,476
280,553
281,616
282,664
283,698
284,725
285,749
286,770
287,790
288,803
289,810
290,818
291,828
292,832
293,836
294,836
295,836
296,838
297,837
298,837
299,835
300,836
301,838
302,831
303,828
304,820
305,816
306,817
307,820
308,822
309,824
310,826
311,829
312,832
313,822
314,749
315,634
316,526
317,440
318,375
319,318
320,266
321,216
322,181
323,157
324,145
325,142
326,142
327,147
328,158
329,171
330,184
331,192
332,196
333,206
334,212
335,219
336,217
337,219
338,224
339,225
340,228
341,230
342,234
343,238
344,252
345,266
346,278
347,282
348,279
349,277
350,282
351,296
352,309
353,333
354,378
355,442
356,512
357,572
358,621
359,658
360,686
361,710
362,734
363,755
364,774
365,792
366,803
367,813
368,820
369,830
370,840
371,853
372,862
373,866
374,871
375,872
376,872
377,870
378,865
379,857
380,850
381,848
382,850
383,846
384,846
385,848
386,842
387,838
388,838
389,840
390,841
391,842
392,846
393,836
394,760
395,626
396,486
397,370
398,281
399,218
400,173
